shape,interval,block_size,format,run,blocks,decompressed_bytes,on_disk_data_bytes,index_bytes,file_bytes,entries,forward_ns_per_entry,reverse_ns_per_entry,reverse_p99_ns,cache_hits,cache_misses
prefix-heavy,8,8192,legacy,0,1071,8808282,1239261,54833,1437952,120000,21.88,68.54,125,2142,0
prefix-heavy,8,8192,delta,0,570,4667575,903897,29600,1077371,120000,32.02,89.05,334,1140,0
prefix-heavy,8,8192,legacy,1,1071,8808282,1239261,54833,1437952,120000,16.22,68.68,125,2142,0
prefix-heavy,8,8192,delta,1,570,4667575,903897,29600,1077371,120000,30.41,88.03,334,1140,0
prefix-heavy,8,8192,legacy,2,1071,8808282,1239261,54833,1437952,120000,15.95,62.94,125,2142,0
prefix-heavy,8,8192,delta,2,570,4667575,903897,29600,1077371,120000,34.17,100.02,375,1140,0
prefix-heavy,8,8192,legacy,3,1071,8808282,1239261,54833,1437952,120000,96.72,83.82,125,2142,0
prefix-heavy,8,8192,delta,3,570,4667575,903897,29600,1077371,120000,31.43,120.88,334,1140,0
prefix-heavy,8,8192,legacy,4,1071,8808282,1239261,54833,1437952,120000,31.22,61.07,125,2142,0
prefix-heavy,8,8192,delta,4,570,4667575,903897,29600,1077371,120000,33.27,189.03,375,1140,0
prefix-heavy,8,16384,legacy,0,538,8806094,1194489,27766,1366113,120000,14.99,70.23,83,1076,0
prefix-heavy,8,16384,delta,0,284,4655089,863633,14657,1022164,120000,28.67,114.67,375,568,0
prefix-heavy,8,16384,legacy,1,538,8806094,1194489,27766,1366113,120000,15.93,65.44,84,1076,0
prefix-heavy,8,16384,delta,1,284,4655089,863633,14657,1022164,120000,29.90,92.35,375,568,0
prefix-heavy,8,16384,legacy,2,538,8806094,1194489,27766,1366113,120000,14.75,63.70,84,1076,0
prefix-heavy,8,16384,delta,2,284,4655089,863633,14657,1022164,120000,30.43,163.65,584,568,0
prefix-heavy,8,16384,legacy,3,538,8806094,1194489,27766,1366113,120000,15.34,61.90,83,1076,0
prefix-heavy,8,16384,delta,3,284,4655089,863633,14657,1022164,120000,30.74,90.54,334,568,0
prefix-heavy,8,16384,legacy,4,538,8806094,1194489,27766,1366113,120000,16.38,61.82,84,1076,0
prefix-heavy,8,16384,delta,4,284,4655089,863633,14657,1022164,120000,29.20,84.58,333,568,0
prefix-heavy,8,65536,legacy,0,135,8804266,1159733,6960,1310551,120000,24.46,92.89,84,270,0
prefix-heavy,8,65536,delta,0,71,4649531,849067,3699,996640,120000,28.37,94.20,333,142,0
prefix-heavy,8,65536,legacy,1,135,8804266,1159733,6960,1310551,120000,14.74,58.68,83,270,0
prefix-heavy,8,65536,delta,1,71,4649531,849067,3699,996640,120000,39.14,91.18,333,142,0
prefix-heavy,8,65536,legacy,2,135,8804266,1159733,6960,1310551,120000,14.86,61.18,83,270,0
prefix-heavy,8,65536,delta,2,71,4649531,849067,3699,996640,120000,27.42,415.29,459,142,0
prefix-heavy,8,65536,legacy,3,135,8804266,1159733,6960,1310551,120000,23.96,70.88,84,270,0
prefix-heavy,8,65536,delta,3,71,4649531,849067,3699,996640,120000,36.59,122.70,583,142,0
prefix-heavy,8,65536,legacy,4,135,8804266,1159733,6960,1310551,120000,15.06,87.06,84,270,0
prefix-heavy,8,65536,delta,4,71,4649531,849067,3699,996640,120000,101.60,168.47,583,142,0
prefix-heavy,16,4096,legacy,0,2138,8786246,1294805,109730,1548393,120000,18.49,64.28,666,4276,0
prefix-heavy,16,4096,delta,0,1059,4353473,873671,54661,1072206,120000,29.90,89.88,500,2118,0
