shape,interval,block_size,format,run,blocks,decompressed_bytes,on_disk_data_bytes,index_bytes,file_bytes,entries,forward_ns_per_entry,reverse_ns_per_entry,reverse_p99_ns,cache_hits,cache_misses
random,16,16384,legacy,4,483,7936322,5826088,4992,5974938,120000,27.10,70.99,84,966,0
random,16,16384,delta,4,488,8003555,5668729,5053,5817656,120000,33.54,113.08,750,976,0
random,16,65536,legacy,0,121,7934042,5696876,1445,5842179,120000,20.75,64.70,83,242,0
random,16,65536,delta,0,123,8000897,5497032,1456,5642362,120000,33.07,137.06,625,246,0
random,16,65536,legacy,1,121,7934042,5696876,1445,5842179,120000,15.89,65.69,84,242,0
random,16,65536,delta,1,123,8000897,5497032,1456,5642362,120000,32.47,86.78,542,246,0
random,16,65536,legacy,2,121,7934042,5696876,1445,5842179,120000,17.85,60.31,84,242,0
random,16,65536,delta,2,123,8000897,5497032,1456,5642362,120000,32.05,97.52,584,246,0
random,16,65536,legacy,3,121,7934042,5696876,1445,5842179,120000,18.81,70.74,42,242,0
random,16,65536,delta,3,123,8000897,5497032,1456,5642362,120000,32.35,95.62,584,246,0
random,16,65536,legacy,4,121,7934042,5696876,1445,5842179,120000,14.11,58.79,83,242,0
random,16,65536,delta,4,123,8000897,5497032,1456,5642362,120000,43.90,93.73,584,246,0
random,32,4096,legacy,0,1932,7926670,5836401,19732,5999991,120000,23.39,112.00,791,3864,0
random,32,4096,delta,0,1932,7987540,5728187,19730,5891791,120000,44.45,96.40,1084,3864,0
random,32,4096,legacy,1,1932,7926670,5836401,19732,5999991,120000,18.12,73.34,750,3864,0
random,32,4096,delta,1,1932,7987540,5728187,19730,5891791,120000,49.35,92.48,1083,3864,0
random,32,4096,legacy,2,1932,7926670,5836401,19732,5999991,120000,17.83,67.99,792,3864,0
random,32,4096,delta,2,1932,7987540,5728187,19730,5891791,120000,80.74,123.01,1166,3864,0
random,32,4096,legacy,3,1932,7926670,5836401,19732,5999991,120000,17.46,117.27,792,3864,0
random,32,4096,delta,3,1932,7987540,5728187,19730,5891791,120000,247.42,140.75,1125,3864,0
random,32,4096,legacy,4,1932,7926670,5836401,19732,5999991,120000,23.45,66.73,792,3864,0
random,32,4096,delta,4,1932,7987540,5728187,19730,5891791,120000,39.91,89.45,1042,3864,0
random,32,8192,legacy,0,966,7922806,5828235,9924,5982017,120000,16.91,73.43,125,1932,0
random,32,8192,delta,0,974,7983899,5688086,9986,5841946,120000,38.36,89.57,1042,1948,0
random,32,8192,legacy,1,966,7922806,5828235,9924,5982017,120000,16.18,75.23,125,1932,0
random,32,8192,delta,1,974,7983899,5688086,9986,5841946,120000,159.56,238.80,1166,1948,0
random,32,8192,legacy,2,966,7922806,5828235,9924,5982017,120000,15.70,72.15,125,1932,0
random,32,8192,delta,2,974,7983899,5688086,9986,5841946,120000,46.07,89.59,1083,1948,0
random,32,8192,legacy,3,966,7922806,5828235,9924,5982017,120000,15.38,60.47,125,1932,0
random,32,8192,delta,3,974,7983899,5688086,9986,5841946,120000,40.65,105.98,1084,1948,0
random,32,8192,legacy,4,966,7922806,5828235,9924,5982017,120000,19.11,73.59,125,1932,0
random,32,8192,delta,4,974,7983899,5688086,9986,5841946,120000,48.01,103.67,1084,1948,0
random,32,16384,legacy,0,483,7920874,5809392,5002,5958252,120000,14.76,71.37,83,966,0
random,32,16384,delta,0,487,7981926,5650106,5051,5799031,120000,33.70,95.42,1042,974,0
random,32,16384,legacy,1,483,7920874,5809392,5002,5958252,120000,15.04,62.02,83,966,0
random,32,16384,delta,1,487,7981926,5650106,5051,5799031,120000,33.69,90.31,1042,974,0
random,32,16384,legacy,2,483,7920874,5809392,5002,5958252,120000,16.09,78.02,84,966,0
random,32,16384,delta,2,487,7981926,5650106,5051,5799031,120000,34.03,91.62,1042,974,0
random,32,16384,legacy,3,483,7920874,5809392,5002,5958252,120000,17.58,59.73,84,966,0
random,32,16384,delta,3,487,7981926,5650106,5051,5799031,120000,33.56,92.79,1042,974,0
random,32,16384,legacy,4,483,7920874,5809392,5002,5958252,120000,17.78,106.67,84,966,0
random,32,16384,delta,4,487,7981926,5650106,5051,5799031,120000,55.46,134.31,1208,974,0
random,32,65536,legacy,0,121,7919014,5683709,1429,5828996,120000,17.07,68.89,84,242,0
random,32,65536,delta,0,122,7979891,5473820,1439,5619133,120000,39.02,127.89,1084,244,0
random,32,65536,legacy,1,121,7919014,5683709,1429,5828996,120000,13.95,63.33,83,242,0
random,32,65536,delta,1,122,7979891,5473820,1439,5619133,120000,40.86,417.43,1125,244,0
random,32,65536,legacy,2,121,7919014,5683709,1429,5828996,120000,13.94,71.21,84,242,0
random,32,65536,delta,2,122,7979891,5473820,1439,5619133,120000,31.09,116.80,1125,244,0
random,32,65536,legacy,3,121,7919014,5683709,1429,5828996,120000,15.98,60.52,42,242,0
random,32,65536,delta,3,122,7979891,5473820,1439,5619133,120000,31.02,103.28,1083,244,0
random,32,65536,legacy,4,121,7919014,5683709,1429,5828996,120000,14.15,71.21,83,242,0
random,32,65536,delta,4,122,7979891,5473820,1439,5619133,120000,35.54,94.98,1041,244,0
