# threads=2 rounds/thread=20000 pairs=5 pre_reads=0 yield_on_death=false
arm run throughput_ops_s p50_ns p99_ns p999_ns commit_conflicts acquire_conflicts
optimistic 1 34948.9 2833 251333 4653000 2482 0
pessimistic 1 86500.8 9541 66291 3830875 0 1436338
optimistic 2 151428.3 3000 171542 3639375 7878 0
pessimistic 2 114375.2 8250 52083 3435333 0 1135446
optimistic 3 160010.8 2959 169250 3773041 5530 0
pessimistic 3 96870.1 8833 48500 3920459 0 1348172
optimistic 4 168116.8 2917 135125 3830166 4561 0
pessimistic 4 103599.0 8584 41875 4059750 0 1225106
optimistic 5 170924.1 2958 101500 3567000 4278 0
pessimistic 5 93917.4 8792 54875 4071541 0 1367819
