config,engine,phase,run,ops
k64_v512,badger,Delete,1,1072381
k64_v512,badger,Put,2,872934
k64_v512,badger,Get,2,637952
k64_v512,badger,Forward,2,1650499
k64_v512,badger,Backward,2,1674734
k64_v512,badger,Delete,2,1050624
k64_v512,wildcat,Put,1,32675
k64_v512,wildcat,Get,1,5467
k64_v512,wildcat,Forward,1,13589
k64_v512,wildcat,Backward,1,22176
k64_v512,wildcat,Delete,1,78055
k64_v512,wildcat,Put,2,32534
k64_v512,wildcat,Get,2,5458
k64_v512,wildcat,Forward,2,41344
k64_v512,wildcat,Backward,2,61036
k64_v512,wildcat,Delete,2,78068
k64_v512,rocksdb,Put,1,1328097
k64_v512,rocksdb,Get,1,2150399
k64_v512,rocksdb,Forward,1,1062207
k64_v512,rocksdb,Backward,1,1028559
k64_v512,rocksdb,Delete,1,2811490
k64_v512,rocksdb,Put,2,1320262
k64_v512,rocksdb,Get,2,2122863
k64_v512,rocksdb,Forward,2,1051123
k64_v512,rocksdb,Backward,2,1004768
k64_v512,rocksdb,Delete,2,3203793
k16_v1024,tidesdb,Put,1,3747387.99
k16_v1024,tidesdb,Get,1,434476.75
k16_v1024,tidesdb,Forward,1,62358.57
k16_v1024,tidesdb,Backward,1,62225.72
k16_v1024,tidesdb,Delete,1,1079559.53
k16_v1024,tidesdb,Put,2,2021833.43
k16_v1024,tidesdb,Get,2,472901.67
k16_v1024,tidesdb,Forward,2,63890.79
k16_v1024,tidesdb,Backward,2,65015.19
k16_v1024,tidesdb,Delete,2,920264.14
k16_v1024,ondadb,Put,1,1234683
k16_v1024,ondadb,Get,1,1904624
k16_v1024,ondadb,Forward,1,841180
k16_v1024,ondadb,Backward,1,834612
k16_v1024,ondadb,Delete,1,12868081
k16_v1024,ondadb,Put,2,1468738
k16_v1024,ondadb,Get,2,1805309
k16_v1024,ondadb,Forward,2,721970
k16_v1024,ondadb,Backward,2,778497
k16_v1024,ondadb,Delete,2,11625136
k16_v1024,fjall,Put,1,694566
k16_v1024,fjall,Get,1,464598
k16_v1024,fjall,Forward,1,640370
k16_v1024,fjall,Backward,1,703993
k16_v1024,fjall,Delete,1,1801938
k16_v1024,fjall,Put,2,698024
k16_v1024,fjall,Get,2,463174
k16_v1024,fjall,Forward,2,635087
k16_v1024,fjall,Backward,2,698708
