config,engine,phase,run,ops
k64_v512,rocksdb,Put,2,419996
k64_v512,rocksdb,Get,2,1063787
k64_v512,rocksdb,Forward,2,1459557
k64_v512,rocksdb,Backward,2,1199457
k64_v512,rocksdb,Delete,2,1568668
k16_v1024,tidesdb,Put,1,634832.07
k16_v1024,tidesdb,Get,1,1351337.08
k16_v1024,tidesdb,Forward,1,459787.87
k16_v1024,tidesdb,Backward,1,427284.81
k16_v1024,tidesdb,Delete,1,787297.45
k16_v1024,tidesdb,Put,2,964502.72
k16_v1024,tidesdb,Get,2,1332986.20
k16_v1024,tidesdb,Forward,2,519527.96
k16_v1024,tidesdb,Backward,2,469753.43
k16_v1024,tidesdb,Delete,2,785765.97
k16_v1024,ondadb,Put,1,208685
k16_v1024,ondadb,Get,1,2983474
k16_v1024,ondadb,Forward,1,2438380
k16_v1024,ondadb,Backward,1,1297138
k16_v1024,ondadb,Delete,1,5102527
k16_v1024,ondadb,Put,2,211633
k16_v1024,ondadb,Get,2,2356119
k16_v1024,ondadb,Forward,2,2378160
k16_v1024,ondadb,Backward,2,2093822
k16_v1024,ondadb,Delete,2,5384764
k16_v1024,fjall,Put,1,165529
k16_v1024,fjall,Get,1,541899
k16_v1024,fjall,Forward,1,965641
k16_v1024,fjall,Backward,1,889450
k16_v1024,fjall,Delete,1,357480
k16_v1024,fjall,Put,2,163329
k16_v1024,fjall,Get,2,1047304
k16_v1024,fjall,Forward,2,717291
k16_v1024,fjall,Backward,2,720348
k16_v1024,fjall,Delete,2,434650
k16_v1024,surrealkv,Put,1,254114
k16_v1024,surrealkv,Get,1,16038
k16_v1024,surrealkv,Forward,1,137390
k16_v1024,surrealkv,Backward,1,138866
k16_v1024,surrealkv,Delete,1,2013854
k16_v1024,surrealkv,Put,2,223682
k16_v1024,surrealkv,Get,2,15689
k16_v1024,surrealkv,Forward,2,172060
k16_v1024,surrealkv,Backward,2,160643
k16_v1024,surrealkv,Delete,2,2032425
k16_v1024,wavesdb,Put,1,421995
k16_v1024,wavesdb,Get,1,1376914
k16_v1024,wavesdb,Forward,1,516826
k16_v1024,wavesdb,Backward,1,498996
k16_v1024,wavesdb,Delete,1,4216346
k16_v1024,wavesdb,Put,2,405432
k16_v1024,wavesdb,Get,2,1389925
k16_v1024,wavesdb,Forward,2,532260
k16_v1024,wavesdb,Backward,2,516609
k16_v1024,wavesdb,Delete,2,4210858
k16_v1024,badger,Put,1,498300
k16_v1024,badger,Get,1,682425
k16_v1024,badger,Forward,1,1104679
k16_v1024,badger,Backward,1,1133039
k16_v1024,badger,Delete,1,659136
k16_v1024,badger,Put,2,401482
k16_v1024,badger,Get,2,638820
k16_v1024,badger,Forward,2,1064351
k16_v1024,badger,Backward,2,1203064
k16_v1024,badger,Delete,2,785950
k16_v1024,rocksdb,Put,1,278300
k16_v1024,rocksdb,Get,1,890961
k16_v1024,rocksdb,Forward,1,1022287
k16_v1024,rocksdb,Backward,1,975781
k16_v1024,rocksdb,Delete,1,3466433
k16_v1024,rocksdb,Put,2,234011
k16_v1024,rocksdb,Get,2,916644
k16_v1024,rocksdb,Forward,2,1033726
k16_v1024,rocksdb,Backward,2,945213
k16_v1024,rocksdb,Delete,2,3040836
k16_v4096,tidesdb,Put,1,167320.94
k16_v4096,tidesdb,Get,1,586075.00
k16_v4096,tidesdb,Forward,1,379770.31
k16_v4096,tidesdb,Backward,1,367349.87
k16_v4096,tidesdb,Delete,1,1258178.47
k16_v4096,tidesdb,Put,2,145935.12
k16_v4096,tidesdb,Get,2,630503.05
k16_v4096,tidesdb,Forward,2,381722.79
k16_v4096,tidesdb,Backward,2,365385.87
k16_v4096,tidesdb,Delete,2,1106767.78
k16_v4096,ondadb,Put,1,60495
k16_v4096,ondadb,Get,1,979553
k16_v4096,ondadb,Forward,1,1104593
k16_v4096,ondadb,Backward,1,1310352
k16_v4096,ondadb,Delete,1,5855032
k16_v4096,ondadb,Put,2,77132
k16_v4096,ondadb,Get,2,989692
k16_v4096,ondadb,Forward,2,881887
k16_v4096,ondadb,Backward,2,1102397
k16_v4096,ondadb,Delete,2,7038899
k16_v4096,fjall,Put,1,145095
k16_v4096,fjall,Get,1,3137468
k16_v4096,fjall,Forward,1,412149
k16_v4096,fjall,Backward,1,524018
k16_v4096,fjall,Delete,1,1148850
k16_v4096,fjall,Put,2,128534
k16_v4096,fjall,Get,2,1279109
k16_v4096,fjall,Forward,2,291475
k16_v4096,fjall,Backward,2,438647
k16_v4096,fjall,Delete,2,1126860
k16_v4096,surrealkv,Put,1,77972
k16_v4096,surrealkv,Get,1,14774
k16_v4096,surrealkv,Forward,1,42716
k16_v4096,surrealkv,Backward,1,32993
k16_v4096,surrealkv,Delete,1,2203683
k16_v4096,surrealkv,Put,2,74581
k16_v4096,surrealkv,Get,2,15140
k16_v4096,surrealkv,Forward,2,38906
k16_v4096,surrealkv,Backward,2,43318
k16_v4096,surrealkv,Delete,2,1928600
k16_v4096,wavesdb,Put,1,135170
k16_v4096,wavesdb,Get,1,631435
k16_v4096,wavesdb,Forward,1,143142
k16_v4096,wavesdb,Backward,1,153016
k16_v4096,wavesdb,Delete,1,5394575
k16_v4096,wavesdb,Put,2,119431
k16_v4096,wavesdb,Get,2,584879
k16_v4096,wavesdb,Forward,2,147251
k16_v4096,wavesdb,Backward,2,159652
k16_v4096,wavesdb,Delete,2,4863982
k16_v4096,badger,Put,1,167559
k16_v4096,badger,Get,1,316902
k16_v4096,badger,Forward,1,441057
k16_v4096,badger,Backward,1,535365
k16_v4096,badger,Delete,1,1139925
k16_v4096,badger,Put,2,142287
k16_v4096,badger,Get,2,244210
k16_v4096,badger,Forward,2,507441
k16_v4096,badger,Backward,2,417916
k16_v4096,badger,Delete,2,857470
k16_v4096,rocksdb,Put,1,97014
k16_v4096,rocksdb,Get,1,266328
k16_v4096,rocksdb,Forward,1,367299
k16_v4096,rocksdb,Backward,1,460228
k16_v4096,rocksdb,Delete,1,4640594
k16_v4096,rocksdb,Put,2,127354
k16_v4096,rocksdb,Get,2,299578
k16_v4096,rocksdb,Forward,2,368827
k16_v4096,rocksdb,Backward,2,442223
k16_v4096,rocksdb,Delete,2,4669045
k16_v16384,tidesdb,Put,1,46789.91
k16_v16384,tidesdb,Get,1,316984.93
k16_v16384,tidesdb,Forward,1,236715.12
k16_v16384,tidesdb,Backward,1,226570.60
k16_v16384,tidesdb,Delete,1,1530213.88
k16_v16384,tidesdb,Put,2,39158.33
k16_v16384,tidesdb,Get,2,238906.95
k16_v16384,tidesdb,Forward,2,146635.94
k16_v16384,tidesdb,Backward,2,163572.56
k16_v16384,tidesdb,Delete,2,1415708.98
k16_v16384,ondadb,Put,1,21222
k16_v16384,ondadb,Get,1,413695
k16_v16384,ondadb,Forward,1,275152
k16_v16384,ondadb,Backward,1,418498
k16_v16384,ondadb,Delete,1,3947761
k16_v16384,ondadb,Put,2,20100
k16_v16384,ondadb,Get,2,462975
k16_v16384,ondadb,Forward,2,203713
k16_v16384,ondadb,Backward,2,481585
k16_v16384,ondadb,Delete,2,3978694
k16_v16384,fjall,Put,1,37438
k16_v16384,fjall,Get,1,1978852
k16_v16384,fjall,Forward,1,78801
k16_v16384,fjall,Backward,1,349598
k16_v16384,fjall,Delete,1,1257382
k16_v16384,fjall,Put,2,27529
k16_v16384,fjall,Get,2,1906528
k16_v16384,fjall,Forward,2,105455
k16_v16384,fjall,Backward,2,357465
k16_v16384,fjall,Delete,2,1301788
k16_v16384,surrealkv,Put,1,17457
k16_v16384,surrealkv,Get,1,14435
k16_v16384,surrealkv,Forward,1,8983
k16_v16384,surrealkv,Backward,1,9648
k16_v16384,surrealkv,Delete,1,1970254
k16_v16384,surrealkv,Put,2,24469
k16_v16384,surrealkv,Get,2,13477
k16_v16384,surrealkv,Forward,2,9744
k16_v16384,surrealkv,Backward,2,9403
k16_v16384,surrealkv,Delete,2,1885565
k16_v16384,wavesdb,Put,1,25590
k16_v16384,wavesdb,Get,1,151442
k16_v16384,wavesdb,Forward,1,58088
k16_v16384,wavesdb,Backward,1,49518
k16_v16384,wavesdb,Delete,1,4732400
k16_v16384,wavesdb,Put,2,25797
k16_v16384,wavesdb,Get,2,207927
k16_v16384,wavesdb,Forward,2,57502
k16_v16384,wavesdb,Backward,2,51716
k16_v16384,wavesdb,Delete,2,4228392
k16_v16384,badger,Put,1,45984
